,Filepaths,Labels
0,preprocessed_images\African_Honey_Bee\100106917.jpg,African_Honey_Bee
1,preprocessed_images\African_Honey_Bee\100107153.jpg,African_Honey_Bee
2,preprocessed_images\African_Honey_Bee\100771680.jpg,African_Honey_Bee
3,preprocessed_images\African_Honey_Bee\100780307.jpg,African_Honey_Bee
4,preprocessed_images\African_Honey_Bee\101036611.jpg,African_Honey_Bee
5,preprocessed_images\African_Honey_Bee\10211756.jpg,African_Honey_Bee
6,preprocessed_images\African_Honey_Bee\10211757.jpg,African_Honey_Bee
7,preprocessed_images\African_Honey_Bee\104454749.jpg,African_Honey_Bee
8,preprocessed_images\African_Honey_Bee\104454756.jpg,African_Honey_Bee
9,preprocessed_images\African_Honey_Bee\104454764.jpg,African_Honey_Bee
10,preprocessed_images\African_Honey_Bee\106304599.jpg,African_Honey_Bee
11,preprocessed_images\African_Honey_Bee\10664477.jpg,African_Honey_Bee
12,preprocessed_images\African_Honey_Bee\107051967.jpg,African_Honey_Bee
13,preprocessed_images\African_Honey_Bee\109562161.jpg,African_Honey_Bee
14,preprocessed_images\African_Honey_Bee\109562186.jpg,African_Honey_Bee
15,preprocessed_images\African_Honey_Bee\11079783.jpg,African_Honey_Bee
16,preprocessed_images\African_Honey_Bee\11079797.jpg,African_Honey_Bee
17,preprocessed_images\African_Honey_Bee\111783191.jpg,African_Honey_Bee
18,preprocessed_images\African_Honey_Bee\11319413.jpg,African_Honey_Bee
19,preprocessed_images\African_Honey_Bee\114605166.jpg,African_Honey_Bee
20,preprocessed_images\African_Honey_Bee\114726494.jpg,African_Honey_Bee
21,preprocessed_images\African_Honey_Bee\115294683.jpg,African_Honey_Bee
22,preprocessed_images\African_Honey_Bee\115422654.jpg,African_Honey_Bee
23,preprocessed_images\African_Honey_Bee\117950812.jpg,African_Honey_Bee
24,preprocessed_images\African_Honey_Bee\117950819.jpg,African_Honey_Bee
25,preprocessed_images\African_Honey_Bee\117950823.jpg,African_Honey_Bee
26,preprocessed_images\African_Honey_Bee\117950832.jpg,African_Honey_Bee
27,preprocessed_images\African_Honey_Bee\117950842.jpg,African_Honey_Bee
28,preprocessed_images\African_Honey_Bee\117950848.jpg,African_Honey_Bee
29,preprocessed_images\African_Honey_Bee\118250272.jpg,African_Honey_Bee
30,preprocessed_images\African_Honey_Bee\118250283.jpg,African_Honey_Bee
31,preprocessed_images\African_Honey_Bee\118250297.jpg,African_Honey_Bee
32,preprocessed_images\African_Honey_Bee\118250313.jpg,African_Honey_Bee
33,preprocessed_images\African_Honey_Bee\118905785.jpg,African_Honey_Bee
34,preprocessed_images\African_Honey_Bee\121173133.jpg,African_Honey_Bee
35,preprocessed_images\African_Honey_Bee\121211960.jpg,African_Honey_Bee
36,preprocessed_images\African_Honey_Bee\12343539.jpg,African_Honey_Bee
37,preprocessed_images\African_Honey_Bee\124472482.jpg,African_Honey_Bee
38,preprocessed_images\African_Honey_Bee\124472489.jpg,African_Honey_Bee
39,preprocessed_images\African_Honey_Bee\12447623.jpg,African_Honey_Bee
40,preprocessed_images\African_Honey_Bee\12447656.jpg,African_Honey_Bee
41,preprocessed_images\African_Honey_Bee\124528256.jpg,African_Honey_Bee
42,preprocessed_images\African_Honey_Bee\12518597.jpg,African_Honey_Bee
43,preprocessed_images\African_Honey_Bee\12518600.jpg,African_Honey_Bee
44,preprocessed_images\African_Honey_Bee\125225888.jpg,African_Honey_Bee
45,preprocessed_images\African_Honey_Bee\125226023.jpg,African_Honey_Bee
46,preprocessed_images\African_Honey_Bee\125745138.jpg,African_Honey_Bee
47,preprocessed_images\African_Honey_Bee\125745158.jpg,African_Honey_Bee
48,preprocessed_images\African_Honey_Bee\125919820.jpg,African_Honey_Bee
49,preprocessed_images\African_Honey_Bee\125980221.jpg,African_Honey_Bee
50,preprocessed_images\African_Honey_Bee\12664412.jpg,African_Honey_Bee
51,preprocessed_images\African_Honey_Bee\12664490.jpg,African_Honey_Bee
52,preprocessed_images\African_Honey_Bee\127217183.jpg,African_Honey_Bee
53,preprocessed_images\African_Honey_Bee\13027906.jpg,African_Honey_Bee
54,preprocessed_images\African_Honey_Bee\130304831.jpg,African_Honey_Bee
55,preprocessed_images\African_Honey_Bee\131305522.jpg,African_Honey_Bee
56,preprocessed_images\African_Honey_Bee\133376459.jpg,African_Honey_Bee
57,preprocessed_images\African_Honey_Bee\136990404.jpg,African_Honey_Bee
58,preprocessed_images\African_Honey_Bee\136990426.jpg,African_Honey_Bee
59,preprocessed_images\African_Honey_Bee\138529139.jpg,African_Honey_Bee
60,preprocessed_images\African_Honey_Bee\138529373.jpg,African_Honey_Bee
61,preprocessed_images\African_Honey_Bee\138529625.jpg,African_Honey_Bee
62,preprocessed_images\African_Honey_Bee\139024222.jpg,African_Honey_Bee
63,preprocessed_images\African_Honey_Bee\139242800.jpg,African_Honey_Bee
64,preprocessed_images\African_Honey_Bee\139242825.jpg,African_Honey_Bee
65,preprocessed_images\African_Honey_Bee\139699766.jpg,African_Honey_Bee
66,preprocessed_images\African_Honey_Bee\139716343.jpg,African_Honey_Bee
67,preprocessed_images\African_Honey_Bee\139971717.jpg,African_Honey_Bee
68,preprocessed_images\African_Honey_Bee\14250211.jpg,African_Honey_Bee
69,preprocessed_images\African_Honey_Bee\145900798.jpg,African_Honey_Bee
70,preprocessed_images\African_Honey_Bee\145917914.jpg,African_Honey_Bee
71,preprocessed_images\African_Honey_Bee\145917928.jpg,African_Honey_Bee
72,preprocessed_images\African_Honey_Bee\145917940.jpg,African_Honey_Bee
73,preprocessed_images\African_Honey_Bee\146976293.jpg,African_Honey_Bee
74,preprocessed_images\African_Honey_Bee\146976299.jpg,African_Honey_Bee
75,preprocessed_images\African_Honey_Bee\149124687.jpg,African_Honey_Bee
76,preprocessed_images\African_Honey_Bee\149125897.jpg,African_Honey_Bee
77,preprocessed_images\African_Honey_Bee\149125921.jpg,African_Honey_Bee
78,preprocessed_images\African_Honey_Bee\149125948.jpg,African_Honey_Bee
79,preprocessed_images\African_Honey_Bee\149125976.jpg,African_Honey_Bee
80,preprocessed_images\African_Honey_Bee\149129378.jpg,African_Honey_Bee
81,preprocessed_images\African_Honey_Bee\15125410.jpg,African_Honey_Bee
82,preprocessed_images\African_Honey_Bee\15135515.jpg,African_Honey_Bee
83,preprocessed_images\African_Honey_Bee\15135526.jpg,African_Honey_Bee
84,preprocessed_images\African_Honey_Bee\15153289.jpg,African_Honey_Bee
85,preprocessed_images\African_Honey_Bee\15153292.jpg,African_Honey_Bee
86,preprocessed_images\African_Honey_Bee\15175165.jpg,African_Honey_Bee
87,preprocessed_images\African_Honey_Bee\15177156.jpg,African_Honey_Bee
88,preprocessed_images\African_Honey_Bee\15177158.jpg,African_Honey_Bee
89,preprocessed_images\African_Honey_Bee\15177159.jpg,African_Honey_Bee
90,preprocessed_images\African_Honey_Bee\15177161.jpg,African_Honey_Bee
91,preprocessed_images\African_Honey_Bee\15177205.jpg,African_Honey_Bee
92,preprocessed_images\African_Honey_Bee\15177206.jpg,African_Honey_Bee
93,preprocessed_images\African_Honey_Bee\15177208.jpg,African_Honey_Bee
94,preprocessed_images\African_Honey_Bee\15185709.jpg,African_Honey_Bee
95,preprocessed_images\African_Honey_Bee\15190450.jpg,African_Honey_Bee
96,preprocessed_images\African_Honey_Bee\15198034.jpg,African_Honey_Bee
97,preprocessed_images\African_Honey_Bee\15199825.jpg,African_Honey_Bee
98,preprocessed_images\African_Honey_Bee\15205281.jpg,African_Honey_Bee
99,preprocessed_images\African_Honey_Bee\15205285.jpg,African_Honey_Bee
100,preprocessed_images\African_Honey_Bee\15232469.jpg,African_Honey_Bee
101,preprocessed_images\African_Honey_Bee\15232471.jpg,African_Honey_Bee
102,preprocessed_images\African_Honey_Bee\15235438.jpg,African_Honey_Bee
103,preprocessed_images\African_Honey_Bee\15235445.jpg,African_Honey_Bee
104,preprocessed_images\African_Honey_Bee\15236358.jpg,African_Honey_Bee
105,preprocessed_images\African_Honey_Bee\15236360.jpg,African_Honey_Bee
106,preprocessed_images\African_Honey_Bee\15236363.jpg,African_Honey_Bee
107,preprocessed_images\African_Honey_Bee\15272263.jpg,African_Honey_Bee
108,preprocessed_images\African_Honey_Bee\15279376.jpg,African_Honey_Bee
109,preprocessed_images\African_Honey_Bee\15279379.jpg,African_Honey_Bee
110,preprocessed_images\African_Honey_Bee\15279381.jpg,African_Honey_Bee
111,preprocessed_images\African_Honey_Bee\15293218.jpg,African_Honey_Bee
112,preprocessed_images\African_Honey_Bee\15295831.jpg,African_Honey_Bee
113,preprocessed_images\African_Honey_Bee\153124038.jpg,African_Honey_Bee
114,preprocessed_images\African_Honey_Bee\15318260.jpg,African_Honey_Bee
115,preprocessed_images\African_Honey_Bee\15318263.jpg,African_Honey_Bee
116,preprocessed_images\African_Honey_Bee\15373496.jpg,African_Honey_Bee
117,preprocessed_images\African_Honey_Bee\153888490.jpg,African_Honey_Bee
118,preprocessed_images\African_Honey_Bee\15400417.jpg,African_Honey_Bee
119,preprocessed_images\African_Honey_Bee\15419602.jpg,African_Honey_Bee
120,preprocessed_images\African_Honey_Bee\15419918.jpg,African_Honey_Bee
121,preprocessed_images\African_Honey_Bee\15419920.jpg,African_Honey_Bee
122,preprocessed_images\African_Honey_Bee\15419922.jpg,African_Honey_Bee
123,preprocessed_images\African_Honey_Bee\15419924.jpg,African_Honey_Bee
124,preprocessed_images\African_Honey_Bee\15428260.jpg,African_Honey_Bee
125,preprocessed_images\African_Honey_Bee\15436222.jpg,African_Honey_Bee
126,preprocessed_images\African_Honey_Bee\15453991.jpg,African_Honey_Bee
127,preprocessed_images\African_Honey_Bee\15456369.jpg,African_Honey_Bee
128,preprocessed_images\African_Honey_Bee\15456637.jpg,African_Honey_Bee
129,preprocessed_images\African_Honey_Bee\15456640.jpg,African_Honey_Bee
130,preprocessed_images\African_Honey_Bee\15456646.jpg,African_Honey_Bee
131,preprocessed_images\African_Honey_Bee\15456647.jpg,African_Honey_Bee
132,preprocessed_images\African_Honey_Bee\15456651.jpg,African_Honey_Bee
133,preprocessed_images\African_Honey_Bee\15456654.jpg,African_Honey_Bee
134,preprocessed_images\African_Honey_Bee\154689313.jpg,African_Honey_Bee
135,preprocessed_images\African_Honey_Bee\154689324.jpg,African_Honey_Bee
136,preprocessed_images\African_Honey_Bee\15470663.jpg,African_Honey_Bee
137,preprocessed_images\African_Honey_Bee\15470675.jpg,African_Honey_Bee
138,preprocessed_images\African_Honey_Bee\15497627.jpg,African_Honey_Bee
139,preprocessed_images\African_Honey_Bee\15505476.jpg,African_Honey_Bee
140,preprocessed_images\African_Honey_Bee\15525182.jpg,African_Honey_Bee
141,preprocessed_images\African_Honey_Bee\15525184.jpg,African_Honey_Bee
142,preprocessed_images\African_Honey_Bee\15540423.jpg,African_Honey_Bee
143,preprocessed_images\African_Honey_Bee\15540425.jpg,African_Honey_Bee
144,preprocessed_images\African_Honey_Bee\15542908.jpg,African_Honey_Bee
145,preprocessed_images\African_Honey_Bee\15542912.jpg,African_Honey_Bee
146,preprocessed_images\African_Honey_Bee\15542915.jpg,African_Honey_Bee
147,preprocessed_images\African_Honey_Bee\15542919.jpg,African_Honey_Bee
148,preprocessed_images\African_Honey_Bee\15542921.jpg,African_Honey_Bee
149,preprocessed_images\African_Honey_Bee\15542940.jpg,African_Honey_Bee
150,preprocessed_images\African_Honey_Bee\15542942.jpg,African_Honey_Bee
151,preprocessed_images\African_Honey_Bee\15543451.jpg,African_Honey_Bee
152,preprocessed_images\African_Honey_Bee\15561030.jpg,African_Honey_Bee
153,preprocessed_images\African_Honey_Bee\15563809.jpg,African_Honey_Bee
154,preprocessed_images\African_Honey_Bee\15563813.jpg,African_Honey_Bee
155,preprocessed_images\African_Honey_Bee\15563816.jpg,African_Honey_Bee
156,preprocessed_images\African_Honey_Bee\15563819.jpg,African_Honey_Bee
157,preprocessed_images\African_Honey_Bee\15578654.jpg,African_Honey_Bee
158,preprocessed_images\African_Honey_Bee\15581926.jpg,African_Honey_Bee
159,preprocessed_images\African_Honey_Bee\15597415.jpg,African_Honey_Bee
160,preprocessed_images\African_Honey_Bee\15597416.jpg,African_Honey_Bee
161,preprocessed_images\African_Honey_Bee\15600112.jpg,African_Honey_Bee
162,preprocessed_images\African_Honey_Bee\15600116.jpg,African_Honey_Bee
163,preprocessed_images\African_Honey_Bee\15601210.jpg,African_Honey_Bee
164,preprocessed_images\African_Honey_Bee\15601212.jpg,African_Honey_Bee
165,preprocessed_images\African_Honey_Bee\15601215.jpg,African_Honey_Bee
166,preprocessed_images\African_Honey_Bee\15655540.jpg,African_Honey_Bee
167,preprocessed_images\African_Honey_Bee\15655543.jpg,African_Honey_Bee
168,preprocessed_images\African_Honey_Bee\15655545.jpg,African_Honey_Bee
169,preprocessed_images\African_Honey_Bee\15660380.jpg,African_Honey_Bee
170,preprocessed_images\African_Honey_Bee\15660385.jpg,African_Honey_Bee
171,preprocessed_images\African_Honey_Bee\15660389.jpg,African_Honey_Bee
172,preprocessed_images\African_Honey_Bee\15667495.jpg,African_Honey_Bee
173,preprocessed_images\African_Honey_Bee\15667499.jpg,African_Honey_Bee
174,preprocessed_images\African_Honey_Bee\15676581.jpg,African_Honey_Bee
175,preprocessed_images\African_Honey_Bee\15682566.jpg,African_Honey_Bee
176,preprocessed_images\African_Honey_Bee\15682569.jpg,African_Honey_Bee
177,preprocessed_images\African_Honey_Bee\15690137.jpg,African_Honey_Bee
178,preprocessed_images\African_Honey_Bee\15693657.jpg,African_Honey_Bee
179,preprocessed_images\African_Honey_Bee\15693661.jpg,African_Honey_Bee
180,preprocessed_images\African_Honey_Bee\15698190.jpg,African_Honey_Bee
181,preprocessed_images\African_Honey_Bee\15701727.jpg,African_Honey_Bee
182,preprocessed_images\African_Honey_Bee\15704978.jpg,African_Honey_Bee
183,preprocessed_images\African_Honey_Bee\15732091.jpg,African_Honey_Bee
184,preprocessed_images\African_Honey_Bee\15732094.jpg,African_Honey_Bee
185,preprocessed_images\African_Honey_Bee\15732716.jpg,African_Honey_Bee
186,preprocessed_images\African_Honey_Bee\15734508.jpg,African_Honey_Bee
187,preprocessed_images\African_Honey_Bee\15734510.jpg,African_Honey_Bee
188,preprocessed_images\African_Honey_Bee\15738134.jpg,African_Honey_Bee
189,preprocessed_images\African_Honey_Bee\15739512.jpg,African_Honey_Bee
190,preprocessed_images\African_Honey_Bee\15739713.jpg,African_Honey_Bee
191,preprocessed_images\African_Honey_Bee\15740711.jpg,African_Honey_Bee
192,preprocessed_images\African_Honey_Bee\15740714.jpg,African_Honey_Bee
193,preprocessed_images\African_Honey_Bee\15747815.jpg,African_Honey_Bee
194,preprocessed_images\African_Honey_Bee\15747817.jpg,African_Honey_Bee
195,preprocessed_images\African_Honey_Bee\15747820.jpg,African_Honey_Bee
196,preprocessed_images\African_Honey_Bee\15747823.jpg,African_Honey_Bee
197,preprocessed_images\African_Honey_Bee\15751826.jpg,African_Honey_Bee
198,preprocessed_images\African_Honey_Bee\15760503.jpg,African_Honey_Bee
199,preprocessed_images\African_Honey_Bee\15762783.jpg,African_Honey_Bee
200,preprocessed_images\African_Honey_Bee\15771930.jpg,African_Honey_Bee
201,preprocessed_images\African_Honey_Bee\15771997.jpg,African_Honey_Bee
202,preprocessed_images\African_Honey_Bee\15771998.jpg,African_Honey_Bee
203,preprocessed_images\African_Honey_Bee\15771999.jpg,African_Honey_Bee
204,preprocessed_images\African_Honey_Bee\15778948.jpg,African_Honey_Bee
205,preprocessed_images\African_Honey_Bee\15780503.jpg,African_Honey_Bee
206,preprocessed_images\African_Honey_Bee\15780506.jpg,African_Honey_Bee
207,preprocessed_images\African_Honey_Bee\15780507.jpg,African_Honey_Bee
208,preprocessed_images\African_Honey_Bee\15791557.jpg,African_Honey_Bee
209,preprocessed_images\African_Honey_Bee\15791559.jpg,African_Honey_Bee
210,preprocessed_images\African_Honey_Bee\15791562.jpg,African_Honey_Bee
211,preprocessed_images\African_Honey_Bee\15791563.jpg,African_Honey_Bee
212,preprocessed_images\African_Honey_Bee\15805663.jpg,African_Honey_Bee
213,preprocessed_images\African_Honey_Bee\15805665.jpg,African_Honey_Bee
214,preprocessed_images\African_Honey_Bee\15806395.jpg,African_Honey_Bee
215,preprocessed_images\African_Honey_Bee\15806398.jpg,African_Honey_Bee
216,preprocessed_images\African_Honey_Bee\15806401.jpg,African_Honey_Bee
217,preprocessed_images\African_Honey_Bee\15806404.jpg,African_Honey_Bee
218,preprocessed_images\African_Honey_Bee\15806407.jpg,African_Honey_Bee
219,preprocessed_images\African_Honey_Bee\15806784.jpg,African_Honey_Bee
220,preprocessed_images\African_Honey_Bee\15832021.jpg,African_Honey_Bee
221,preprocessed_images\African_Honey_Bee\158324063.jpg,African_Honey_Bee
222,preprocessed_images\African_Honey_Bee\158324066.jpg,African_Honey_Bee
223,preprocessed_images\African_Honey_Bee\158324069.jpg,African_Honey_Bee
224,preprocessed_images\African_Honey_Bee\15839669.jpg,African_Honey_Bee
225,preprocessed_images\African_Honey_Bee\15856878.jpg,African_Honey_Bee
226,preprocessed_images\African_Honey_Bee\15856882.jpg,African_Honey_Bee
227,preprocessed_images\African_Honey_Bee\15861785.jpg,African_Honey_Bee
228,preprocessed_images\African_Honey_Bee\15863134.jpg,African_Honey_Bee
229,preprocessed_images\African_Honey_Bee\15863136.jpg,African_Honey_Bee
230,preprocessed_images\African_Honey_Bee\15876035.jpg,African_Honey_Bee
231,preprocessed_images\African_Honey_Bee\15876038.jpg,African_Honey_Bee
232,preprocessed_images\African_Honey_Bee\15876041.jpg,African_Honey_Bee
233,preprocessed_images\African_Honey_Bee\15887906.jpg,African_Honey_Bee
234,preprocessed_images\African_Honey_Bee\15909549.jpg,African_Honey_Bee
235,preprocessed_images\African_Honey_Bee\15909551.jpg,African_Honey_Bee
